id,restaurant_id,name,description,category,base_type,meat_type,size_or_variant,price_pln,spicy,is_vege,image_url,available,created_at
73cc8a65-ece9-45e6-96c4-07361dc5c8cd,70842598-1632-43f6-8015-706d5adf182f,Kurczak na gorącym półmisku,Z ryżem i surówką,Kurczak,,,,22.00,false,false,,true,2025-10-29 21:37:37.603105+00
74ca5e8e-f03b-43f2-9451-51f6b75a31bb,70842598-1632-43f6-8015-706d5adf182f,Sajgonki z surówką,"3 sztuki, z surówką",Sajgonki,,,,11.00,false,false,,true,2025-10-29 21:37:37.603105+00
76321ab0-c8b2-45d0-83fc-a3b17c7a0181,bd9f2244-7618-4071-aa96-52616a7b4c70,Sałatka z Serem Camembert,"Mix sałat, ser camembert, żurawina, orzechy, sos ziołowy",Sałatka,sałatka,vege,,27.00,false,true,,true,2025-10-26 11:54:58.644557+00
76c2c80f-0e48-46e9-b3c8-b9b0684f6831,bd9f2244-7618-4071-aa96-52616a7b4c70,Bowl Kurczak Zapiekany z Serem,"Kawałki kurczaka zapiekane z serem, surówka, kapusta pekińska, frytki, sos tzatziki",Obiad,obiad,mięsne,,42.50,false,false,,true,2025-10-26 11:51:52.659681+00
76fec2e7-ebe6-402e-8309-166e4ad63a86,70842598-1632-43f6-8015-706d5adf182f,Kalmary chrupiące pikantne,Z ryżem i surówką,Kalmary,,,,25.00,false,false,,true,2025-10-29 21:37:37.603105+00
7b8fcc66-a57f-4edd-9cbb-20e4a2603699,af8448ef-974b-46c8-a4ae-b04b8dc7c9f8,Zupa pomidorowa,Zupa pomidorowa z makaronem 230ml,Zupa,zupa,vege,,20.00,false,true,,true,2025-10-26 13:25:49.038306+00
7beac934-6b7c-49f7-915f-bcc966c2fb59,1fc1e782-bac6-47b2-978a-f6f2b38000cd,Tradycyjny schabowy,Schabowy z ziemniakami i serem/pieczarkami,Danie główne,schabowy,mięsne,,16.00,false,false,,true,2025-10-26 15:45:31.708804+00
7d164335-be7d-4ec7-a16a-b52811b0e660,bd9f2244-7618-4071-aa96-52616a7b4c70,Vege Burger,"Kotlet z halloumi, grillowana cukinia, sałata, sos jogurtowy",Burger,burger,vege,,28.00,false,true,,true,2025-10-26 11:50:51.979421+00
7de49898-5dea-46c6-9228-8f9c0f936689,fc844513-2869-4f42-b04f-c21e1e4cceb7,Ayran Turecki,,Napoje,,,,5.00,false,false,,true,2025-10-29 22:45:07.983357+00
7e4f7098-4ec8-43bc-bd6d-038ae5ab1c45,569a7d29-57be-4224-bdf3-09c483415cea,Kosmiczne Jaja Standard,"Bułka maślana, 100% wołowina 200g, ser cheddar, grillowany boczek, jajko sadzone, sałata, pomidor, grillowana cebula czerwona, sos majonezowy, BBQ",Burger,burger,mięsne,standard,36.00,false,false,,true,2025-10-29 21:29:06.527172+00
808e82e9-3bc5-43d9-a8bf-7a83dc85ef7e,83566974-1017-4408-90ee-2571ccc06978,Vegetariana,"Sos pomidorowy, ser mozzarella, papryka, cebula, kukurydza, pieczarki",Pizza,,,,31.00,false,false,,true,2025-10-29 14:49:19.136917+00
